Compressor Setting, Pulse Duration (fs)
8.920000000000000000e+04,3.180410638721716623e+02
8.800000000000000000e+04,3.155368035267214850e+02
8.730000000000000000e+04,3.205453242176218396e+02
9.020000000000000000e+04,3.305623655994225487e+02
8.000000000000000000e+04,5.684670984171887085e+02
9.000000000000000000e+04,3.255538449085221941e+02
1.000000000000000000e+05,6.986886363805975861e+02
1.100000000000000000e+05,9.991998778346180643e+02
8.710000000000000000e+04,3.230495845630720169e+02
8.820000000000000000e+04,3.155368035267214850e+02
2.000000000000000000e+04,2.088553128105442283e+03
3.000000000000000000e+04,1.995895495323786008e+03
8.900000000000000000e+04,3.155368035267214850e+02
8.750000000000000000e+04,3.205453242176218396e+02
8.790000000000000000e+04,3.155368035267214850e+02
9.040000000000000000e+04,3.355708862903229033e+02
5.000000000000000000e+04,1.652811827997112687e+03
4.000000000000000000e+04,1.833118572869525224e+03
8.940000000000000000e+04,3.180410638721716623e+02
8.980000000000000000e+04,3.255538449085221941e+02
8.860000000000000000e+04,3.155368035267214850e+02
5.000100000000000000e+04,1.657820348688012928e+03
8.840000000000000000e+04,3.155368035267214850e+02
8.960000000000000000e+04,3.205453242176218396e+02
8.880000000000000000e+04,3.155368035267214850e+02
8.650000000000000000e+04,3.305623655994225487e+02
8.770000000000000000e+04,3.155368035267214850e+02
1.000000000000000000e+04,2.163680938468947716e+03
8.720000000000000000e+04,3.205453242176218396e+02
8.600000000000000000e+04,3.430836673266733783e+02
9.030000000000000000e+04,3.305623655994225487e+02
1.300000000000000000e+05,1.505060467615552625e+03
1.200000000000000000e+05,1.237104610652384281e+03
1.000000000000000000e+02,2.213766145377951034e+03
8.930000000000000000e+04,3.180410638721716623e+02
8.810000000000000000e+04,3.155368035267214850e+02
8.830000000000000000e+04,3.155368035267214850e+02
8.910000000000000000e+04,3.180410638721716623e+02
9.010000000000000000e+04,3.280581052539723714e+02
8.700000000000000000e+04,3.230495845630720169e+02
8.950000000000000000e+04,3.205453242176218396e+02
8.870000000000000000e+04,3.155368035267214850e+02
8.990000000000000000e+04,3.255538449085221941e+02
8.740000000000000000e+04,3.205453242176218396e+02
9.050000000000000000e+04,3.355708862903229033e+02
8.780000000000000000e+04,3.155368035267214850e+02
6.000100000000000000e+04,1.372334669306693513e+03
8.760000000000000000e+04,3.155368035267214850e+02
6.000000000000000000e+04,1.369830408961243393e+03
7.000000000000000000e+04,1.009216919216418773e+03
8.850000000000000000e+04,3.155368035267214850e+02
8.890000000000000000e+04,3.155368035267214850e+02
8.970000000000000000e+04,3.205453242176218396e+02
